r b swpd free buff cache si so bi bo in cs us sy id wa st CEST
3 0 0 28 7 419 0 0 388 6080 15194 30185 33 13 49 6 0 2022-04-17T13:37:54
0 1 0 28 7 419 0 0 1644 6720 15654 31493 33 11 50 7 0 2022-04-17T13:37:55
2 0 0 32 7 414 0 0 4292 4336 15329 30057 33 10 51 7 0 2022-04-17T13:37:56
3 0 0 30 7 412 0 0 4652 4084 14649 30775 32 10 49 8 0 2022-04-17T13:37:57
0 1 0 31 7 408 0 0 3724 7620 15342 30090 26 10 54 10 0 2022-04-17T13:37:58
0 1 0 27 7 411 0 0 4304 4292 15103 30478 24 7 54 14 0 2022-04-17T13:37:59
2 0 0 29 6 408 0 0 4760 4964 15513 31076 22 13 56 9 0 2022-04-17T13:38:00
1 0 0 64 6 371 0 0 4548 3340 15574 30667 29 10 54 7 0 2022-04-17T13:38:01
0 1 0 53 6 381 0 0 4200 6428 14871 29304 25 7 57 11 0 2022-04-17T13:38:02
5 0 0 43 6 391 0 0 5460 4348 15321 30166 30 11 52 8 0 2022-04-17T13:38:03
0 1 0 30 6 403 0 0 5072 6372 14369 28446 13 7 69 10 0 2022-04-17T13:38:04
6 0 0 32 6 398 0 0 5060 4340 15584 31163 38 10 45 7 0 2022-04-17T13:38:05
3 0 0 31 6 396 0 0 4840 5612 15106 30184 24 9 57 10 0 2022-04-17T13:38:06
1 0 0 38 5 386 0 0 4812 4304 15105 30194 24 11 57 8 0 2022-04-17T13:38:07
8 0 0 34 5 391 0 0 2552 8296 15557 29954 32 11 48 9 0 2022-04-17T13:38:08
3 0 0 32 5 392 0 0 1120 4296 14424 28608 20 6 62 12 0 2022-04-17T13:38:09
9 0 0 38 5 384 0 0 2736 5776 15530 31111 35 15 42 8 0 2022-04-17T13:38:10
12 1 0 32 5 385 0 0 2908 4896 15184 30915 59 20 16 5 0 2022-04-17T13:38:11
4 1 0 40 5 384 0 0 2520 6928 15139 31896 51 18 24 7 0 2022-04-17T13:38:12
7 0 0 28 5 394 0 0 5400 4292 15528 29872 27 9 55 8 0 2022-04-17T13:38:13
2 2 0 30 5 393 0 0 2920 5824 15560 31267 40 10 43 7 0 2022-04-17T13:38:14
8 0 0 34 5 389 0 0 1064 588 15606 31117 55 13 30 2 0 2022-04-17T13:38:15
2 0 0 35 5 383 0 0 3048 4932 15862 33706 60 20 14 6 0 2022-04-17T13:38:16
0 1 0 28 5 391 0 0 640 8588 15367 29763 48 15 32 5 0 2022-04-17T13:38:17
1 1 0 33 5 379 0 0 956 4352 15469 31982 50 13 29 8 0 2022-04-17T13:38:18
2 2 0 32 5 383 0 0 1256 2112 15883 31821 57 14 25 5 0 2022-04-17T13:38:19
11 0 0 30 5 386 0 0 1060 2660 16203 31758 47 14 31 8 0 2022-04-17T13:38:20
7 0 0 30 5 386 0 0 580 4852 15368 31916 40 16 40 4 0 2022-04-17T13:38:21
9 0 0 33 5 385 0 0 964 6396 15700 31426 16 36 40 7 0 2022-04-17T13:38:22
0 1 0 33 5 383 0 0 1804 8776 15702 30379 17 31 43 9 0 2022-04-17T13:38:23
5 0 0 31 5 391 0 0 2256 5280 15091 29745 18 27 47 8 0 2022-04-17T13:38:24
2 1 0 33 5 387 0 0 5276 5416 15098 30173 17 26 48 8 0 2022-04-17T13:38:25
3 0 0 29 5 393 0 0 4452 7100 15624 31700 22 19 44 16 0 2022-04-17T13:38:26
4 0 0 56 5 366 0 0 5028 4972 14998 29616 17 14 61 8 0 2022-04-17T13:38:27
6 0 0 45 5 377 0 0 5000 4340 14742 29713 16 12 63 9 0 2022-04-17T13:38:28
2 0 0 28 5 388 0 0 4424 4284 14766 30366 23 14 51 12 0 2022-04-17T13:38:29
0 1 0 28 5 387 0 0 3640 7036 15053 29991 21 10 51 18 0 2022-04-17T13:38:30
0 2 0 30 4 385 0 0 5312 6460 15218 30980 22 11 54 14 0 2022-04-17T13:38:31
1 0 0 34 4 381 0 0 1508 2936 15160 31462 46 18 30 6 0 2022-04-17T13:38:32
0 1 0 26 4 389 0 0 208 8060 14796 30382 23 9 61 7 0 2022-04-17T13:38:33
4 0 0 41 4 372 0 0 2336 4648 15136 31724 28 15 48 9 0 2022-04-17T13:38:34
1 0 0 33 4 382 0 0 4024 5288 15206 31050 16 25 50 9 0 2022-04-17T13:38:35
0 1 0 36 4 379 0 0 4004 8744 15132 29765 16 18 50 16 0 2022-04-17T13:38:36
0 1 0 40 4 374 0 0 4360 5048 15414 29756 20 17 54 9 0 2022-04-17T13:38:37
2 0 0 29 4 386 0 0 6028 4304 14502 29421 24 11 54 11 0 2022-04-17T13:38:38
4 0 0 32 4 383 0 0 4400 6420 14695 30500 19 14 57 10 0 2022-04-17T13:38:39
1 0 0 29 4 386 0 0 4468 6896 15109 29373 20 7 59 15 0 2022-04-17T13:38:40
